id	name	population	confirmed	deaths	recovered
GUY	Guyana	748486	5	0	0
DJI	Djibouti	740528	0	0	0
163	Bahrain	738004	110	0	30
BTN	Bhutan	699847	1	0	0
MNE	Montenegro	666730	0	0	0
GNQ	Equatorial Guinea	650702	0	0	0
SLB	Solomon Islands	609794	0	0	0
168	Macau	567957	10	0	10
169	Cape Verde	508659	0	0	0
LUX	Luxembourg	497538	7	0	0
ESH	Western Sahara	491519	0	0	0
SUR	Suriname	486618	0	0	0
173	Malta	406771	5	0	0
174	Maldives	395650	6	0	0
BRN	Brunei	395027	6	0	0
BLZ	Belize	314522	0	0	0
BHS	Bahamas, The	310426	0	0	0
ISL	Iceland	308910	81	0	1
179	French Polynesia	291000	0	0	0
180	Barbados	285653	0	0	0
181	Mayotte	231139	0	0	0
NCL	New Caledonia	229993	0	0	0
183	Netherlands Antilles	228693	0	0	0
VUT	Vanuatu	221552	0	0	0
185	Samoa	192001	0	0	0
186	Sao Tome and Principe	175808	0	0	0
187	Saint Lucia	160922	0	0	0
188	Tonga	122580	0	0	0
189	Virgin Islands	109775	0	0	0
190	Grenada	107818	0	0	0
191	Micronesia, Federated States of	107154	0	0	0	
192	Aruba	104589	0	0	0
193	Saint Vincent and the Grenadines	104217	0	0	0
194	Kiribati	99482	0	0	0
195	Jersey	91812	0	0	0
196	Seychelles	88340	0	0	0
197	Antigua and Barbuda	86754	0	0	0
198	Andorra	84525	1	0	0
199	Isle of Man	76913	0	0	0
DOM	Dominica	72813	0	0	0
201	Bermuda	68268	0	0	0
202	American Samoa	66432	0	0	0
203	Marshall Islands	65859	0	0	0
204	Guernsey	65632	0	0	0
GRL	Greenland	57637	11	0	11
206	Cayman Islands	50209	0	0	0
207	Saint Kitts and Nevis	49898	0	0	0
208	Faroe Islands	49057	2	0	0
209	Northern Mariana Islands	48317	0	0	0
210	Liechtenstein	35002	1	0	0
211	San Marino	31477	62	2	0
212	Monaco	30586	1	0	0
213	Saint Martin	30235	2	0	0
214	Gibraltar	28877	1	0	1
215	British Virgin Islands	24939	0	0	0
216	Turks and Caicos Islands	23528	0	0	0
