,id,Country,Population,Confirmed,Death,Recovered
112,SLE,Sierra Leone,5245695,2.0,0.0,0.0
113,ARE,United Arab Emirates,4975593,1024.0,8.0,96.0
114,TKM,Turkmenistan,4940916,0.0,0.0,0.0
115,CAF,Central African Republic,4844927,3.0,0.0,0.0
116,SGP,Singapore,4701069,1049.0,4.0,266.0
117,NOR,Norway,4676305,5147.0,50.0,32.0
118,BIH,Bosnia and Herzegovina,4621598,533.0,16.0,20.0
119,GEO,Georgia,4600825,134.0,0.0,26.0
120,CRI,Costa Rica,4516220,396.0,2.0,6.0
121,HRV,Croatia,4486881,1011.0,7.0,88.0
122,MDA,Moldova,4317483,505.0,6.0,23.0
123,NZL,New Zealand,4252277,797.0,1.0,92.0
124,IRL,Ireland,4250163,3849.0,98.0,5.0
125,COG,"Congo, Republic of the",4125916,22.0,2.0,2.0
126,LBN,Lebanon,4125247,494.0,16.0,46.0
127,PRI,Puerto Rico,3977663,0.0,0.0,0.0
128,LBR,Liberia,3685076,6.0,0.0,0.0
129,ALB,Albania,3659616,277.0,16.0,76.0
130,LTU,Lithuania,3545319,649.0,9.0,7.0
131,URY,Uruguay,3510386,350.0,4.0,62.0
132,PAN,Panama,3410676,1317.0,32.0,9.0
133,MRT,Mauritania,3205060,6.0,1.0,2.0
134,MNG,Mongolia,3086918,14.0,0.0,2.0
135,OMN,Oman,2967717,231.0,1.0,57.0
136,ARM,Armenia,2966802,663.0,7.0,33.0
137,JAM,Jamaica,2847232,47.0,3.0,2.0
138,OSA,Kosovo,2789132  0  0   0 ,125.0,1.0,10.0
139,PSE,Palestine,2514845,0.0,0.0,0.0
140,LVA,Latvia,2217969,458.0,0.0,31.0
141,NAM,Namibia,2128471,14.0,0.0,3.0
142,MKD,Macedonia,2072086,0.0,0.0,0.0
143,BWA,Botswana,2029307,4.0,1.0,0.0
144,SVN,Slovenia,2003136,897.0,17.0,70.0
145,LSO,Lesotho,1919552,0.0,0.0,0.0
146,GMB,"Gambia, The",1824158,4.0,1.0,2.0
147,KWT,Kuwait,1815048,342.0,0.0,81.0
148,149,Gaza Strip,1604238,0.0,0.0,0.0
149,GNB,Guinea-Bissau,1565126,9.0,0.0,0.0
150,GAB,Gabon,1545255,21.0,1.0,0.0
151,SWZ,Swaziland,1354051,0.0,0.0,0.0
152,153,Mauritius,1294104,169.0,7.0,0.0
153,EST,Estonia,1291170,858.0,11.0,45.0
154,TTO,Trinidad and Tobago,1228691,94.0,5.0,1.0
155,TLS,Timor-Leste,1154625,1.0,0.0,0.0
156,CYP,Cyprus,1102677,356.0,10.0,28.0
157,FJI,Fiji,957780,7.0,0.0,0.0
158,QAT,Qatar,840926,949.0,3.0,72.0
159,160,Comoros,773407,0.0,0.0,0.0
160,GUY,Guyana,748486,19.0,4.0,0.0
161,DJI,Djibouti,740528,40.0,0.0,0.0
162,163,Bahrain,738004,643.0,4.0,381.0
163,BTN,Bhutan,699847,5.0,0.0,1.0
164,MNE,Montenegro,666730,144.0,2.0,0.0
165,GNQ,Equatorial Guinea,650702,15.0,0.0,1.0
166,SLB,Solomon Islands,609794,0.0,0.0,0.0
167,168,Macau,567957,0.0,0.0,0.0
168,169,Cape Verde,508659,6.0,1.0,0.0
169,LUX,Luxembourg,497538,2487.0,30.0,80.0
170,ESH,Western Sahara,491519,0.0,0.0,0.0
171,SUR,Suriname,486618,10.0,0.0,0.0
172,173,Malta,406771,196.0,0.0,2.0
173,174,Maldives,395650,19.0,0.0,13.0
174,BRN,Brunei,395027,133.0,1.0,56.0
175,BLZ,Belize,314522,3.0,0.0,0.0
176,BHS,"Bahamas, The",310426,24.0,1.0,1.0
